ref,cluster,subject,status,n_msgs,first,last,reopen_loop,unresolved
TAL-00975,journal_app,Strategy bank,pending,7,2026-06-22,2026-06-24,,yes
TAL-00976,journal_app,strategy bank - template,resolved,3,2026-06-22,2026-06-22,,
TAL-00977,journal_app,strategy,resolved,3,2026-06-22,2026-06-25,,
TAL-00978,journal_app,strategy / Select 6 timeframes (max).,resolved,2,2026-06-22,2026-06-22,,
TAL-00979,journal_app,strategy flow,resolved,1,2026-06-22,2026-06-22,,
TAL-00981,journal_app,session,resolved,10,2026-06-22,2026-06-23,,
TAL-00982,journal_app,session journal,resolved,4,2026-06-22,2026-06-22,,
TAL-00983,journal_app,Strategies,resolved,1,2026-06-22,2026-06-22,,
TAL-00984,journal_app,strategy,resolved,1,2026-06-22,2026-06-22,,
TAL-00985,journal_app,Strategies,resolved,1,2026-06-22,2026-06-22,,
TAL-00986,journal_app,Strategies,resolved,1,2026-06-22,2026-06-22,,
TAL-00987,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-00988,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-00989,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-00992,journal_app,New session window,resolved,5,2026-06-23,2026-06-23,,
TAL-00997,journal_app,prop session,closed,2,2026-06-23,2026-06-23,,
TAL-00999,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01000,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01003,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01004,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01005,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01006,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01007,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01008,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01009,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01010,journal_app,Strategies,resolved,1,2026-06-23,2026-06-23,,
TAL-01011,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01012,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01013,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01014,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01015,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01017,journal_app,Strategies,resolved,2,2026-06-24,2026-06-24,,
TAL-01018,journal_app,Strategies,resolved,2,2026-06-24,2026-06-24,,
TAL-01019,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01020,journal_app,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01024,journal_app,trades from session,resolved,2,2026-06-24,2026-06-24,,
TAL-01026,journal_app,session progress,user_replied,2,2026-06-24,2026-06-25,,yes
TAL-01027,journal_app,card,resolved,1,2026-06-24,2026-06-24,,
TAL-01031,journal_app,Import trades (Important),resolved,3,2026-06-24,2026-06-25,,
TAL-01038,journal_app,Sessions — Filters,resolved,1,2026-06-24,2026-06-24,,
TAL-01039,journal_app,Sessions,resolved,1,2026-06-24,2026-06-24,,
TAL-01041,journal_app,Sessions,resolved,1,2026-06-24,2026-06-24,,
TAL-01042,journal_app,Sessions,resolved,1,2026-06-24,2026-06-24,,
TAL-01043,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01044,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01045,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01046,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01047,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01048,journal_app,Session,resolved,1,2026-06-24,2026-06-24,,
TAL-01049,journal_app,Session,resolved,2,2026-06-24,2026-06-26,,
TAL-01050,journal_app,session,resolved,1,2026-06-25,2026-06-25,,
TAL-01051,journal_app,Session,resolved,1,2026-06-25,2026-06-25,,
TAL-01052,journal_app,Session,resolved,1,2026-06-25,2026-06-25,,
TAL-01053,journal_app,Session,resolved,1,2026-06-25,2026-06-25,,
TAL-01054,journal_app,Session,resolved,1,2026-06-25,2026-06-25,,
TAL-01064,journal_app,session spread,resolved,3,2026-06-25,2026-06-25,,
TAL-01065,journal_app,play session from trades,open,1,2026-06-25,2026-06-25,,yes
TAL-01085,journal_app,session,resolved,1,2026-06-26,2026-06-26,,
TAL-01086,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01087,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01088,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01089,journal_app,Session,pending,3,2026-06-26,2026-06-26,,yes
TAL-01090,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01091,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01092,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01093,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01094,journal_app,Session,resolved,1,2026-06-26,2026-06-26,,
TAL-01098,journal_app,session,resolved,1,2026-06-26,2026-06-26,,
TAL-01110,journal_app,Session,resolved,1,2026-06-27,2026-06-27,,
TAL-01111,journal_app,Session,resolved,1,2026-06-27,2026-06-27,,
TAL-01112,journal_app,Session,resolved,3,2026-06-27,2026-06-28,,
TAL-01113,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01114,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01115,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01117,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01118,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01119,journal_app,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01161,journal_app,some chart and card on dashboard not linked to filter,resolved,1,2026-06-28,2026-06-28,,
TAL-01448,journal_app,delete session,user_replied,6,2026-07-03,2026-07-03,,yes
TAL-01449,journal_app,Session three dots,resolved,1,2026-07-03,2026-07-03,,
TAL-01503,journal_app,Switch between Card & row,resolved,1,2026-07-04,2026-07-04,,
TAL-01504,journal_app,Strategy emoji,closed,3,2026-07-04,2026-07-05,,
TAL-01505,journal_app,strategy flow,resolved,1,2026-07-04,2026-07-04,,
TAL-01506,journal_app,Strategy timeframe,resolved,1,2026-07-04,2026-07-04,,
TAL-01507,journal_app,strategy add tags,resolved,1,2026-07-04,2026-07-04,,
TAL-01508,journal_app,strategy flow / condition,resolved,1,2026-07-04,2026-07-04,,
TAL-01509,journal_app,strategy bank names,resolved,1,2026-07-04,2026-07-04,,
TAL-01510,journal_app,strategy image,resolved,1,2026-07-04,2026-07-04,,
TAL-01511,journal_app,strategy copy,closed,3,2026-07-04,2026-07-05,,
TAL-01512,journal_app,build strategy,resolved,2,2026-07-04,2026-07-04,,
TAL-01515,journal_app,build strategy group,resolved,2,2026-07-04,2026-07-04,,
TAL-01516,journal_app,Strategies,closed,1,2026-07-05,2026-07-05,,
TAL-01517,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01518,journal_app,Strategies,resolved,2,2026-07-05,2026-07-05,,
TAL-01519,journal_app,Strategies,user_replied,3,2026-07-05,2026-07-05,,yes
TAL-01520,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01521,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01522,journal_app,Strategies,open,1,2026-07-05,2026-07-05,,yes
TAL-01523,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01524,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01525,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01526,journal_app,Strategies,closed,2,2026-07-05,2026-07-05,,
TAL-01527,journal_app,Strategies,user_replied,3,2026-07-05,2026-07-05,,yes
TAL-01528,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01529,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01530,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01531,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01532,journal_app,Strategies,resolved,2,2026-07-05,2026-07-05,,
TAL-01533,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01534,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01535,journal_app,Strategies,closed,1,2026-07-05,2026-07-05,,
TAL-01537,journal_app,Strategies,open,1,2026-07-05,2026-07-05,,yes
TAL-01538,journal_app,Strategies,resolved,1,2026-07-05,2026-07-05,,
TAL-01539,journal_app,Sessions And Trades,resolved,1,2026-07-05,2026-07-05,,
TAL-01540,journal_app,Session,resolved,1,2026-07-05,2026-07-05,,
TAL-01541,journal_app,Sessions calculate,closed,2,2026-07-05,2026-07-05,,
TAL-01542,journal_app,Session,closed,1,2026-07-05,2026-07-05,,
TAL-01543,journal_app,Session,closed,2,2026-07-05,2026-07-05,,
TAL-01544,journal_app,Sessions,user_replied,3,2026-07-05,2026-07-05,,yes
TAL-01545,journal_app,Session,open,1,2026-07-05,2026-07-05,,yes
TAL-01546,journal_app,Session,resolved,2,2026-07-05,2026-07-05,,
TAL-01549,journal_app,session / new session,resolved,1,2026-07-05,2026-07-05,,
TAL-01550,journal_app,sessions /numbers boxes,resolved,1,2026-07-05,2026-07-05,,
TAL-01551,journal_app,sessions / columns,closed,1,2026-07-05,2026-07-05,,
TAL-01552,journal_app,delete journal,resolved,1,2026-07-05,2026-07-05,,
TAL-01553,journal_app,names journal,resolved,2,2026-07-05,2026-07-05,,
TAL-01554,journal_app,Session,resolved,1,2026-07-05,2026-07-05,,
TAL-01555,journal_app,Session,resolved,1,2026-07-05,2026-07-05,,
TAL-01556,journal_app,big number on journal,open,2,2026-07-05,2026-07-05,,yes
TAL-01557,journal_app,strategy / Markets,open,2,2026-07-05,2026-07-05,,yes
TAL-01558,journal_app,strategy disciption,open,1,2026-07-06,2026-07-06,,yes
TAL-00887,multichart_layouts,Load layout Ctrl+L,resolved,1,2026-06-20,2026-06-20,,
TAL-00914,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00915,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00917,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00919,multichart_layouts,News Panel,resolved,1,2026-06-21,2026-06-21,,
TAL-00920,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00923,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00925,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00926,multichart_layouts,layouts,resolved,7,2026-06-21,2026-06-21,,
TAL-00927,multichart_layouts,Independent timeframe per panel,resolved,2,2026-06-21,2026-06-21,,
TAL-00928,multichart_layouts,layouts indicator,resolved,2,2026-06-21,2026-06-21,,
TAL-00929,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00930,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00931,multichart_layouts,Load multichart layout,resolved,1,2026-06-21,2026-06-21,,
TAL-00932,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00934,multichart_layouts,Drawing on focused panel,resolved,1,2026-06-21,2026-06-21,,
TAL-00935,multichart_layouts,settings indicator layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00936,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00937,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00939,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00940,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00941,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00942,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00945,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00947,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00948,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00950,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00951,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-25,,
TAL-00952,multichart_layouts,Layouts,resolved,2,2026-06-21,2026-06-21,,
TAL-00957,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00958,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00959,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00961,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00962,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00963,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00964,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00965,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00966,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00967,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00968,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00969,multichart_layouts,Layouts,resolved,1,2026-06-21,2026-06-21,,
TAL-00970,multichart_layouts,Layouts,resolved,1,2026-06-22,2026-06-22,,
TAL-00971,multichart_layouts,Layouts,resolved,2,2026-06-22,2026-06-22,,
TAL-00972,multichart_layouts,Layouts,resolved,2,2026-06-22,2026-06-22,,
TAL-00973,multichart_layouts,Layouts,resolved,1,2026-06-22,2026-06-22,,
TAL-00974,multichart_layouts,Layouts,resolved,2,2026-06-22,2026-06-22,,
TAL-01016,multichart_layouts,Strategies,resolved,1,2026-06-24,2026-06-24,,
TAL-01105,multichart_layouts,layouts 8,resolved,1,2026-06-27,2026-06-27,,
TAL-01116,multichart_layouts,Strategies,resolved,1,2026-06-27,2026-06-27,,
TAL-01185,multichart_layouts,layouts,resolved,6,2026-06-28,2026-06-28,,
TAL-01360,multichart_layouts,Layouts-menu,resolved,1,2026-07-01,2026-07-01,,
TAL-01362,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01363,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01364,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01365,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01366,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01367,multichart_layouts,Layouts,resolved,2,2026-07-01,2026-07-01,,
TAL-01368,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01369,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01370,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01372,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01376,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01377,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01378,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01379,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01380,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01381,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01382,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01386,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01387,multichart_layouts,Layouts,closed,1,2026-07-01,2026-07-01,,
TAL-01388,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01389,multichart_layouts,Layouts,resolved,2,2026-07-01,2026-07-01,,
TAL-01390,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01391,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01392,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01393,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01394,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01395,multichart_layouts,Layouts,resolved,1,2026-07-01,2026-07-01,,
TAL-01396,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01397,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01398,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01399,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01400,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01401,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01402,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01403,multichart_layouts,Layouts,resolved,2,2026-07-02,2026-07-02,,
TAL-01404,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01405,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01406,multichart_layouts,Layouts,resolved,2,2026-07-02,2026-07-02,,
TAL-01412,multichart_layouts,Layouts,resolved,2,2026-07-02,2026-07-02,,
TAL-01417,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01418,multichart_layouts,Layouts,resolved,1,2026-07-02,2026-07-02,,
TAL-01420,multichart_layouts,grid lines moving when openning the layout,closed,1,2026-07-02,2026-07-02,,
TAL-01422,multichart_layouts,Layouts/Symbol,resolved,1,2026-07-03,2026-07-03,,
TAL-01423,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01424,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01425,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01426,multichart_layouts,Layouts,user_replied,2,2026-07-03,2026-07-03,,yes
TAL-01427,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01428,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01429,multichart_layouts,Layouts,resolved,2,2026-07-03,2026-07-03,,
TAL-01430,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01431,multichart_layouts,Layouts,resolved,2,2026-07-03,2026-07-03,,
TAL-01432,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01433,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01434,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01435,multichart_layouts,Layouts,resolved,2,2026-07-03,2026-07-03,,
TAL-01436,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01437,multichart_layouts,Layouts,resolved,2,2026-07-03,2026-07-03,,
TAL-01438,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01439,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01440,multichart_layouts,Layouts,open,1,2026-07-03,2026-07-03,,yes
TAL-01441,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01442,multichart_layouts,Layouts/ Object Tree,resolved,1,2026-07-03,2026-07-03,,
TAL-01443,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01444,multichart_layouts,Layouts,resolved,3,2026-07-03,2026-07-03,,
TAL-01445,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01447,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01453,multichart_layouts,Layouts,closed,2,2026-07-03,2026-07-03,,
TAL-01454,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01455,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01456,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01457,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01458,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01459,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01460,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01461,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01462,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01463,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01464,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01465,multichart_layouts,Layouts,closed,2,2026-07-03,2026-07-03,,
TAL-01466,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01467,multichart_layouts,Layouts,resolved,1,2026-07-03,2026-07-03,,
TAL-01468,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01469,multichart_layouts,Layouts,resolved,2,2026-07-03,2026-07-03,,
TAL-01470,multichart_layouts,Layouts,closed,1,2026-07-03,2026-07-03,,
TAL-01471,multichart_layouts,Layouts,closed,1,2026-07-04,2026-07-04,,
TAL-01474,multichart_layouts,Layouts,closed,1,2026-07-04,2026-07-04,,
TAL-01475,multichart_layouts,Layouts,closed,2,2026-07-04,2026-07-04,,
TAL-01476,multichart_layouts,Layouts,closed,1,2026-07-04,2026-07-04,,
TAL-01477,multichart_layouts,Layouts / Crosshair,closed,1,2026-07-04,2026-07-04,,
TAL-01478,multichart_layouts,Layouts,resolved,1,2026-07-04,2026-07-04,,
TAL-01479,multichart_layouts,Layouts,closed,3,2026-07-04,2026-07-04,,
TAL-01480,multichart_layouts,Layouts/chart,open,1,2026-07-04,2026-07-04,,yes
TAL-01481,multichart_layouts,Layouts right arrow,closed,2,2026-07-04,2026-07-04,,
TAL-01482,multichart_layouts,layout news,pending,3,2026-07-04,2026-07-04,,yes
TAL-01483,multichart_layouts,layout zoom in/out,resolved,1,2026-07-04,2026-07-04,,
TAL-01484,multichart_layouts,layout stuck until click on screen,open,1,2026-07-04,2026-07-04,,yes
TAL-01485,multichart_layouts,layout crosshire stuck on other chart,closed,1,2026-07-04,2026-07-04,,
TAL-01486,multichart_layouts,layout symbol,closed,1,2026-07-04,2026-07-04,,
TAL-01487,multichart_layouts,layout symbol stuck on left,closed,1,2026-07-04,2026-07-04,,
TAL-01488,multichart_layouts,layout Reset,open,2,2026-07-04,2026-07-04,,yes
TAL-01489,multichart_layouts,layouts - click on chart,open,1,2026-07-04,2026-07-04,,yes
TAL-01490,multichart_layouts,layout don't moves until click on chart,open,1,2026-07-04,2026-07-04,,yes
TAL-01491,multichart_layouts,layout frame box,open,1,2026-07-04,2026-07-04,,yes
TAL-01493,multichart_layouts,layouts / chart name,closed,2,2026-07-04,2026-07-04,,
TAL-01495,multichart_layouts,layout drwaing different symbol,open,1,2026-07-04,2026-07-04,,yes
TAL-01496,multichart_layouts,layout data range,open,2,2026-07-04,2026-07-04,,yes
TAL-01497,multichart_layouts,layout /switch  between layouts,resolved,1,2026-07-04,2026-07-04,,
TAL-01498,multichart_layouts,layout/ select with ctrl,open,1,2026-07-04,2026-07-04,,yes
TAL-01499,multichart_layouts,layout/ quick menu,open,1,2026-07-04,2026-07-04,,yes
TAL-01500,multichart_layouts,layouts / indicator,open,2,2026-07-04,2026-07-04,,yes
TAL-01501,multichart_layouts,layout / indicator appear,open,1,2026-07-04,2026-07-04,,yes
TAL-01502,multichart_layouts,layouts candle,open,1,2026-07-04,2026-07-04,,yes
TAL-01536,multichart_layouts,Strategies,open,1,2026-07-05,2026-07-05,,yes
TAL-00703,orders,Order/chart,resolved,3,2026-06-12,2026-06-12,,
TAL-00704,orders,Order,user_replied,2,2026-06-12,2026-06-12,,yes
TAL-00749,orders,order stoploss,user_replied,9,2026-06-14,2026-06-16,yes,yes
TAL-00752,orders,order entry,user_replied,22,2026-06-14,2026-06-20,yes,yes
TAL-00760,orders,Order,resolved,1,2026-06-14,2026-06-14,,
TAL-00774,orders,Order,user_replied,3,2026-06-15,2026-06-15,,yes
TAL-00810,orders,Order,resolved,1,2026-06-17,2026-06-17,,
TAL-00811,orders,Order,resolved,1,2026-06-17,2026-06-17,,
TAL-00817,orders,order card,resolved,1,2026-06-18,2026-06-18,,
TAL-00830,orders,add order on symbol,resolved,1,2026-06-19,2026-06-19,,
TAL-00889,orders,order TP,resolved,1,2026-06-20,2026-06-20,,
TAL-00905,orders,OnBalance Volume,resolved,2,2026-06-20,2026-06-20,,
TAL-00907,orders,order margin,resolved,1,2026-06-21,2026-06-21,,
TAL-00998,orders,color net  pnl 0,user_replied,2,2026-06-23,2026-06-25,,yes
TAL-01062,orders,add trade entry,resolved,1,2026-06-25,2026-06-25,,
TAL-01104,orders,open order then refrresh,resolved,1,2026-06-27,2026-06-27,,
TAL-01162,orders,remaining lotsize,resolved,1,2026-06-28,2026-06-28,,
TAL-01361,orders,sl/tp on screen,open,2,2026-07-01,2026-07-01,,yes
TAL-01513,orders,Net pnl,resolved,1,2026-07-04,2026-07-04,,
TAL-01514,orders,session profitable,resolved,2,2026-07-04,2026-07-05,,
TAL-00245,replay,Fib speed fan,user_replied,18,2026-05-29,2026-07-01,yes,yes
TAL-00815,replay,replay with adr,resolved,1,2026-06-17,2026-06-17,,
TAL-00819,replay,chart jumps while in replay mode,resolved,1,2026-06-18,2026-06-18,,
TAL-00910,replay,prop firm backtest,resolved,1,2026-06-21,2026-06-21,,
TAL-00912,replay,space to play replay,resolved,1,2026-06-21,2026-06-21,,
TAL-00913,replay,chart bugs when replay,resolved,2,2026-06-21,2026-06-21,,
TAL-00933,replay,Replay sync across tiles,resolved,1,2026-06-21,2026-06-21,,
TAL-00996,replay,replay mode,resolved,1,2026-06-23,2026-06-23,,
TAL-01096,replay,replay with label,resolved,1,2026-06-26,2026-06-26,,
TAL-01097,replay,replay speed,user_replied,2,2026-06-26,2026-07-04,,yes
TAL-01103,replay,Replay with click,resolved,2,2026-06-27,2026-06-27,,
TAL-01158,replay,on source : Backtest-prop,resolved,1,2026-06-28,2026-06-28,,
TAL-01201,replay,Fib speed fan,resolved,2,2026-06-29,2026-06-29,,
TAL-01284,replay,chart replay,resolved,4,2026-06-30,2026-06-30,,
TAL-01358,replay,screen on replay,resolved,2,2026-07-01,2026-07-01,,
TAL-01416,replay,Replay chart,resolved,2,2026-07-02,2026-07-02,,
TAL-01419,replay,Replay with refresh,resolved,1,2026-07-02,2026-07-02,,
TAL-01492,replay,Replay with price label,open,1,2026-07-04,2026-07-04,,yes
